	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I	Sample_J	Sample_K	Sample_L	Sample_M	Sample_N	Sample_O
Sample_A	0	34	18	10	10	28	29	25	12	17	15	9	28	17	34
Sample_B	34	0	42	34	34	50	53	51	36	38	39	39	50	41	30
Sample_C	18	42	0	18	18	35	35	35	14	24	23	23	37	7	42
Sample_D	10	34	18	0	0	28	29	27	12	17	15	15	30	17	34
Sample_E	10	34	18	0	0	28	29	27	12	17	15	15	30	17	34
Sample_F	28	50	35	28	28	0	1	45	29	32	30	33	47	34	52
Sample_G	29	53	35	29	29	1	0	46	30	33	31	34	48	35	53
Sample_H	25	51	35	27	27	45	46	0	29	34	32	30	45	34	51
Sample_I	12	36	14	12	12	29	30	29	0	18	17	17	31	13	36
Sample_J	17	38	24	17	17	32	33	34	18	0	12	22	37	23	41
Sample_K	15	39	23	15	15	30	31	32	17	12	0	20	35	22	39
Sample_L	9	39	23	15	15	33	34	30	17	22	20	0	33	22	39
Sample_M	28	50	37	30	30	47	48	45	31	37	35	33	0	36	54
Sample_N	17	41	7	17	17	34	35	34	13	23	22	22	36	0	41
Sample_O	34	30	42	34	34	52	53	51	36	41	39	39	54	41	0
