	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I	Sample_J	Sample_K	Sample_L	Sample_M	Sample_N	Sample_O
Sample_A	0	31	18	10	10	28	29	25	12	17	15	9	27	17	34
Sample_B	31	0	39	31	31	49	50	48	33	38	36	36	50	38	27
Sample_C	18	39	0	18	18	35	35	35	14	24	23	23	36	7	42
Sample_D	10	31	18	0	0	28	29	27	12	17	15	15	29	17	34
Sample_E	10	31	18	0	0	28	29	27	12	17	15	15	29	17	34
Sample_F	28	49	35	28	28	0	3	45	29	32	30	33	46	34	52
Sample_G	29	50	35	29	29	3	0	46	30	33	31	34	47	35	53
Sample_H	25	48	35	27	27	45	46	0	29	34	32	30	44	34	51
Sample_I	12	33	14	12	12	29	30	29	0	18	17	17	30	13	36
Sample_J	17	38	24	17	17	32	33	34	18	0	12	22	36	23	41
Sample_K	15	36	23	15	15	30	31	32	17	12	0	20	34	22	39
Sample_L	9	36	23	15	15	33	34	30	17	22	20	0	32	22	39
Sample_M	27	50	36	29	29	46	47	44	30	36	34	32	0	35	53
Sample_N	17	38	7	17	17	34	35	34	13	23	22	22	35	0	41
Sample_O	34	27	42	34	34	52	53	51	36	41	39	39	53	41	0
