Assembly	N50	N90	Contigs	Length	Mean_Distance	Path	Score
Sample_A	285283	80168	50	4626313	2.326774e-04	assets/SNP/Sample_A.fasta	1.226088e+09
Sample_B	285283	87355	40	4631086	2.448136e-04	assets/SNP/Sample_B.fasta	1.165307e+09
Sample_K	259526	83199	38	4632444	2.506875e-04	assets/SNP/Sample_K.fasta	1.035257e+09
Sample_D	238061	54649	55	4627990	2.358381e-04	assets/SNP/Sample_D.fasta	1.009426e+09
Sample_L	169488	51870	61	4627094	2.380906e-04	assets/SNP/Sample_L.fasta	7.118634e+08
Sample_C	235009	69689	49	4668385	3.576227e-04	assets/SNP/Sample_C.fasta	6.571424e+08
Sample_I	222472	69687	47	4668267	3.604235e-04	assets/SNP/Sample_I.fasta	6.172516e+08
Sample_N	173213	40058	63	4667287	3.625067e-04	assets/SNP/Sample_N.fasta	4.778202e+08
Sample_H	285283	57940	54	4728796	6.348654e-04	assets/SNP/Sample_H.fasta	4.493598e+08
Sample_O	104612	43315	83	4623444	2.650606e-04	assets/SNP/Sample_O.fasta	3.946721e+08
Sample_E	95783	45157	84	4624417	2.469771e-04	assets/SNP/Sample_E.fasta	3.878213e+08
Sample_G	41813	13112	254	4584986	4.341503e-04	assets/SNP/Sample_G.fasta	9.630997e+07
Sample_F	36325	11886	275	4582721	4.244791e-04	assets/SNP/Sample_F.fasta	8.557548e+07
Sample_J	55413	21547	170	4730789	8.500721e-04	assets/SNP/Sample_J.fasta	6.518624e+07
Sample_M	11490	2756	805	4587464	8.798484e-04	assets/SNP/Sample_M.fasta	1.305907e+07
